Uniq_id,SKU,Name,Description,Price,Av_Score
d1c28131b81aee7e2daf76ffe3cf6a73,pp5006830284,Azul By Maxine Of Hollywood Foiled Again Empire-Waist Swimdress - Plus,"Bold and chic, this empire-waist swimdress will complement your curves and have you beach-ready in no time. tank straps built-in soft cups partially lined nylon/elastane hand wash, line dry imported",116.03,3
d1cd9e562123c8756d26e752ce4b8713,pp5006830284,Azul By Maxine Of Hollywood Foiled Again Empire-Waist Swimdress - Plus,"Bold and chic, this empire-waist swimdress will complement your curves and have you beach-ready in no time. tank straps built-in soft cups partially lined nylon/elastane hand wash, line dry imported",116.03,2
162623a600fb4859e6877208ea81a441,pp5006830279,Azul By Maxine Of Hollywood Foiled Again Shirred 1-pc. Swimsuit,"Bold and chic, this shirred one-piece swimsuit will complement your curves and have you beach-ready in no time. tank straps built-in soft cups tummy control partially lined nylon/elastane hand wash, line dry imported",103.94,3
2d5c82250fb86d9c60f79b0074a7db8f,pp5005850775,Azul by Maxine of Hollywood Print 1-Piece Swimdress - Plus,"Head to the beach with confidence in our flattering black-and-white print knit swimdress. soft cups partially lined nylon/LYCRA® spandex hand wash, line dry imported",116.03,3.125
8c073afaee23ee8233664dd46d00d315,pp5005850775,Azul by Maxine of Hollywood Print 1-Piece Swimdress - Plus,"Head to the beach with confidence in our flattering black-and-white print knit swimdress. soft cups partially lined nylon/LYCRA® spandex hand wash, line dry imported",116.03,2.875
e7e6f68fb989173165db8db59f05eabb,pp5005850777,Azul by Maxine of Hollywood Print 1-Piece Swimdress - Plus,"The vibrant print and flattering styling of our v-neck swimdress will keep you feeling confident and comfortable throughout the season. soft cups partially lined nylon/LYCRA® spandex hand wash, line dry imported",116.03,2.375
703397740f5641042c1ef9e958387058,pp5005850777,Azul by Maxine of Hollywood Print 1-Piece Swimdress - Plus,"The vibrant print and flattering styling of our v-neck swimdress will keep you feeling confident and comfortable throughout the season. soft cups partially lined nylon/LYCRA® spandex hand wash, line dry imported",116.03,3.125
dbd13ca0ff2556e933e0e082ff8e22b4,pp5005850777,Azul by Maxine of Hollywood Print 1-Piece Swimdress - Plus,"The vibrant print and flattering styling of our v-neck swimdress will keep you feeling confident and comfortable throughout the season. soft cups partially lined nylon/LYCRA® spandex hand wash, line dry imported",116.03,3
eb94955699d566447cc73a5eef833e97,pp5005710075,Azul by Maxine of Hollywood Print 1-Piece Swimdress,"Head to the beach with confidence in our flattering black-and-white print knit swimdress. soft cups partially lined nylon/LYCRA® spandex hand wash, line dry imported",103.94,2.444444444
37305a66af036c79914b87019e76895a,pp5005710076,Azul by Maxine of Hollywood Print 1-Piece Swimdress,"The vibrant print and flattering styling of our v-neck swimdress will keep you feeling confident and comfortable throughout the season. soft cups partially lined nylon/LYCRA® spandex hand wash, line dry imported",103.94,3.25
4efca310d907bbac13d3562a8a4f6dfb,pp5005710039,Azul by Maxine of Hollywood Print Tankini Swim Top or Solid Bottoms,,,3.625
a5bbec3e96bebc1a3f7664cb9f3c5e9e,pp5005790447,Azul by Maxine of Hollywood Shirred-Front 1-Piece Swimsuit - Plus,"Flattering front shirring and classic girl-leg styling give our 1-piece swimsuit perfect poolside polish. tummy control soft cups fully lined nylon/LYCRA® spandex hand wash, line dry imported",116.03,2.5
4020078ec2d23a606bbaf015d4ba95b5,pp5005710134,Azul by Maxine of Hollywood Shirred-Front Girl-Leg 1-Piece Swimsuit - Plus,"Flattering front shirring and classic girl-leg styling give our 1-piece swimsuit perfect poolside polish. soft cups fully lined nylon/LYCRA® spandex hand wash, line dry imported",116.03,2.5
2eb41c89edb597299c9aab1728480b58,pp5005791625,Azul by Maxine of Hollywood Shirred-Front Spa 1-Piece Swimsuit,"Showcase your classic style at your next pool party or beachside getaway with our 1-piece knit swimsuit, designed with flattering front shirring and subtle shaping details.   molded soft cups powernet tummy control panel chlorine resistant partially lined polyester hand wash, line dry imported",103.94,3.5
9efc48aa03dbf453b1ab8bebf9703f2b,pp5005791625,Azul by Maxine of Hollywood Shirred-Front Spa 1-Piece Swimsuit,"Showcase your classic style at your next pool party or beachside getaway with our 1-piece knit swimsuit, designed with flattering front shirring and subtle shaping details.   molded soft cups powernet tummy control panel chlorine resistant partially lined polyester hand wash, line dry imported",103.94,3.625
7743f9a716e7fc9d9b587c6bb36c0c6f,pp5005791625,Azul by Maxine of Hollywood Shirred-Front Spa 1-Piece Swimsuit,"Showcase your classic style at your next pool party or beachside getaway with our 1-piece knit swimsuit, designed with flattering front shirring and subtle shaping details.   molded soft cups powernet tummy control panel chlorine resistant partially lined polyester hand wash, line dry imported",103.94,2.625
