category,sentiment,count
bras & panties,Positive,9
bras under $20,Negative,7
bras under $20,Positive,1
"bras, underwear & socks",Negative,1
breast cancer awareness ties,Negative,1
bridal lingerie,Negative,1
bridal lingerie,Neutral,2
bridal lingerie,Positive,5
bridesmaid dresses,Negative,4
bridesmaid dresses,Neutral,1
bridesmaid dresses,Positive,1
brushes & applicators,Negative,8
brushes & applicators,Neutral,2
brushes & applicators,Positive,8
buffets & storage,Neutral,1
bulova,Neutral,1
bulova,Positive,1
business & laptop,Negative,1
business & laptop,Neutral,1
business & laptop,Positive,1
button-down,Negative,2
button-down,Neutral,1
button-down,Positive,3
button-front,Negative,1
buy more & save,Negative,25
buy more & save,Neutral,5
buy more & save,Positive,23
buy more and save,Negative,55
buy more and save,Neutral,29
buy more and save,Positive,59
by & by,Negative,5
by & by,Neutral,3
by & by,Positive,6
by category,Negative,5
by category,Neutral,4
by category,Positive,8
by recipient,Negative,5
by recipient,Neutral,1
by recipient,Positive,4
call it spring,Negative,2
call it spring,Neutral,3
call it spring,Positive,4
calphalon,Negative,2
calphalon,Neutral,2
calphalon,Positive,7
camisoles & tanks,Negative,1
camisoles & tanks,Neutral,1
camisoles & tanks,Positive,6
canisters,Positive,2
canvas & boat shoes,Negative,5
canvas & boat shoes,Neutral,3
canvas & boat shoes,Positive,13
capris & crops,Negative,55
capris & crops,Neutral,12
capris & crops,Positive,53
car seats,Negative,6
car seats,Positive,3
cardigan,Negative,11
cardigan,Neutral,2
cardigan,Positive,10
cardigans,Negative,5
cardigans,Neutral,2
cardigans,Positive,5
cardigans & shrugs,Negative,14
cardigans & shrugs,Neutral,12
cardigans & shrugs,Positive,15
cargo pants,Negative,9
cargo pants,Neutral,1
cargo pants,Positive,7
cargo shorts,Negative,1
cargos,Negative,5
cargos,Positive,3
carry-ons,Negative,1
carry-ons,Neutral,1
carry-ons,Positive,2
cars,Negative,1
cars,Neutral,1
cars,Positive,1
carter's,Negative,3
carter's,Neutral,2
carter's,Positive,8
carts & islands,Negative,2
casio,Neutral,2
casio,Positive,1
casual,Negative,8
casual,Neutral,6
casual,Positive,6
casual boots,Negative,4
casual boots,Neutral,5
casual boots,Positive,7
casual button-down shirts,Negative,18
casual button-down shirts,Neutral,4
casual button-down shirts,Positive,15
casual dinnerware,Negative,3
casual dinnerware,Neutral,12
casual dinnerware,Positive,5
casual flats,Negative,6
casual flats,Neutral,7
casual flats,Positive,9
casual sandals,Negative,17
casual sandals,Neutral,7
casual sandals,Positive,16
casual shirts,Negative,10
casual shirts,Neutral,6
casual shirts,Positive,9
casual shoes,Negative,78
casual shoes,Neutral,46
casual shoes,Positive,84
chair cushions,Negative,4
chair cushions,Neutral,3
chair cushions,Positive,4
chair cushions & covers,Negative,10
chair cushions & covers,Neutral,11
chair cushions & covers,Positive,11
chairs,Negative,3
chairs,Positive,4
chairs & recliners,Negative,4
chairs & recliners,Neutral,1
chairs & recliners,Positive,4
champion,Negative,7
champion,Neutral,2
champion,Positive,4
checked bags,Neutral,1
checked bags,Positive,2
chests & cabinets,Negative,1
chi,Negative,7
chi,Neutral,2
chi,Positive,1
christmas bedding & bath,Negative,8
christmas bedding & bath,Neutral,4
christmas bedding & bath,Positive,12
christmas pajamas & slippers,Negative,2
christmas pajamas & slippers,Neutral,4
christmas pajamas & slippers,Positive,10
christmas shop,Negative,2
christmas shop,Positive,4
christmas sweaters,Neutral,1
christmas tabletop,Negative,8
christmas tabletop,Neutral,5
christmas tabletop,Positive,9
church dresses,Negative,13
church dresses,Neutral,2
church dresses,Positive,6
cinderella,Negative,6
cinderella,Neutral,2
cinderella,Positive,1
citizen,Negative,2
citizen,Positive,1
city fit,Negative,10
city fit,Neutral,1
city fit,Positive,3
clarks,Negative,13
clarks,Neutral,9
clarks,Positive,14
cleansers,Negative,3
cleansers,Neutral,3
cleansers,Positive,2
clearance,Negative,304
clearance,Neutral,164
clearance,Positive,293
clocks & mirrors,Negative,5
clocks & mirrors,Neutral,2
clocks & mirrors,Positive,3
closeouts,Negative,30
closeouts,Neutral,14
closeouts,Positive,18
clothing,Negative,3
clothing,Neutral,1
clothing,Positive,4
clothing sets,Negative,4
clothing sets,Neutral,4
clothing sets,Positive,9
clutches & evening bags,Negative,1
clutches & evening bags,Neutral,1
clutches & evening bags,Positive,5
coats,Negative,20
coats,Neutral,5
coats,Positive,15
coats & jackets,Negative,104
coats & jackets,Neutral,59
coats & jackets,Positive,86
coats + jackets,Negative,1
cocktail glasses,Negative,1
cocktail glasses,Neutral,1
coffee,Negative,7
coffee,Neutral,2
coffee,Positive,7
coffee & tea,Negative,4
coffee & tea,Neutral,1
coffee & tea,Positive,2
coffee mugs,Negative,1
coffeemakers,Negative,4
coffeemakers,Neutral,5
coffeemakers,Positive,7
cold weather & rain boots,Negative,1
cold weather & rain boots,Positive,2
cold weather bedding,Negative,6
cold weather bedding,Neutral,4
cold weather bedding,Positive,2
collared & button-front,Negative,10
collared & button-front,Neutral,5
collared & button-front,Positive,4
collection by michael strahan,Negative,2
collection by michael strahan,Neutral,1
collection by michael strahan,Positive,2
collections,Negative,5
collections,Neutral,1
collections,Positive,2
college & dorm bedding,Negative,9
college & dorm bedding,Neutral,1
college & dorm bedding,Positive,6
college kitchen essentials,Negative,3
college kitchen essentials,Positive,2
colored diamonds,Negative,3
colored diamonds,Positive,1
columbia,Negative,1
columbia,Positive,1
comfort clogs & mules,Negative,1
comfort dress shoes,Negative,5
comfort dress shoes,Positive,2
comfort flats,Negative,8
comfort flats,Neutral,9
comfort flats,Positive,20
comfort sandals,Negative,28
comfort sandals,Neutral,13
comfort sandals,Positive,17
comfort shoes,Negative,49
comfort shoes,Neutral,23
comfort shoes,Positive,48
comfort sneakers,Positive,1
comforters,Negative,26
comforters,Neutral,21
comforters,Positive,36
comforters & bedding sets,Negative,28
comforters & bedding sets,Neutral,13
comforters & bedding sets,Positive,44
converse,Neutral,1
converse,Positive,2
cooks,Negative,11
cooks,Neutral,3
cooks,Positive,6
cooktops,Negative,2
cooktops,Neutral,1
cooktops,Positive,5
cookware,Negative,4
cookware,Positive,9
costumes & dress up,Negative,2
costumes & dress up,Neutral,1
costumes & dress up,Positive,3
costumes & dress-up,Negative,1
costumes & dress-up,Neutral,3
costumes & dress-up,Positive,3
costumes and accessories,Negative,4
costumes and accessories,Neutral,3
costumes and accessories,Positive,2
cotton,Negative,58
cotton,Neutral,27
cotton,Positive,57
couristan,Negative,1
couristan,Positive,7
cover-ups,Negative,1
cover-ups,Neutral,1
coveralls & overalls,Negative,4
coveralls & overalls,Positive,3
coverlets,Negative,11
coverlets,Neutral,10
coverlets,Positive,6
croscill classics,Negative,7
croscill classics,Positive,8
crossbody bags,Negative,2
crossbody bags,Neutral,1
crossbody bags,Positive,5
cuisinart,Negative,5
cuisinart,Positive,2
curling irons,Negative,1
curling irons,Neutral,1
curling irons,Positive,1
curtain rods & hardware,Negative,8
curtain rods & hardware,Neutral,5
curtain rods & hardware,Positive,8
curtains & drapes,Negative,32
curtains & drapes,Neutral,23
curtains & drapes,Positive,39
cushioned socks,Negative,3
cushioned socks,Neutral,2
cushioned socks,Positive,4
cushions & pillows,Negative,1
cushions & pillows,Neutral,1
cushions & pillows,Positive,7
customer favorites,Negative,25
customer favorites,Neutral,13
customer favorites,Positive,21
cutlery & cutting boards,Negative,4
cutlery & cutting boards,Neutral,2
cutlery & cutting boards,Positive,2
dale tiffany,Negative,1
deals,Negative,84
deals,Neutral,49
deals,Positive,91
deco glow,Negative,2
deco glow,Neutral,1
deco glow,Positive,5
decorative objects,Positive,1
decorative pillows & shams,Negative,20
decorative pillows & shams,Neutral,12
decorative pillows & shams,Positive,14
decree,Negative,3
decree,Neutral,1
decree,Positive,6
demi & plunge bras,Positive,1
denim jackets,Negative,2
denim jackets,Neutral,5
denim jackets,Positive,1
denim shorts,Negative,3
denim shorts,Positive,4
designer pick 2,Positive,1
designer picks,Negative,7
designer picks,Positive,5
desks,Negative,2
desks,Neutral,2
desks,Positive,4
desks & chairs,Positive,1
desktop & electronics,Positive,1
diamonart,Positive,2
diamond jewelry,Negative,1
diamond jewelry,Neutral,1
diamond jewelry,Positive,1
diamond rings,Negative,1
diamond rings,Neutral,1
diamond rings,Positive,3
diaper bags,Neutral,1
dickies,Negative,9
dickies,Neutral,5
dickies,Positive,3
dining room chairs,Neutral,1
dining room tables,Negative,1
dining sets,Negative,2
dinnerware,Negative,11
dinnerware,Neutral,9
dinnerware,Positive,14
dishes,Negative,7
dishes,Neutral,5
dishes,Positive,9
dishwashers,Negative,12
dishwashers,Neutral,10
dishwashers,Positive,11
disney,Negative,3
disney,Positive,2
disney apparel by okie dokie,Negative,3
disney apparel by okie dokie,Positive,2
disney princess,Negative,5
disney princess,Neutral,1
disney princess,Positive,3
dockers,Negative,23
dockers,Neutral,4
dockers,Positive,16
dolls & doll houses,Negative,4
dolls & doll houses,Positive,4
doorbuster,Negative,11
doorbuster,Neutral,5
doorbuster,Positive,15
dorm room decor,Negative,4
dorm room decor,Neutral,2
dorm room decor,Positive,2
down & down-alt comforters,Negative,6
down & down-alt comforters,Neutral,2
down & down-alt comforters,Positive,9
down comforters,Negative,1
down comforters,Neutral,3
down comforters,Positive,2
dream on collection,Negative,3
dream on collection,Positive,7
dress boots,Negative,3
dress boots,Neutral,3
dress boots,Positive,3
dress clothes,Negative,20
dress clothes,Neutral,15
dress clothes,Positive,23
dress pants,Negative,22
dress pants,Neutral,9
dress pants,Positive,18
dress sandals,Negative,1
dress sandals,Positive,2
dress shirts,Negative,23
dress shirts,Neutral,14
dress shirts,Positive,24
dress shirts & ties,Negative,19
dress shirts & ties,Neutral,14
dress shirts & ties,Positive,10
dress shoes,Negative,27
dress shoes,Neutral,9
dress shoes,Positive,31
dressers & chests,Positive,1
dressers & nightstands,Negative,3
dressers & nightstands,Neutral,4
dressers & nightstands,Positive,2
dresses,Negative,59
dresses,Neutral,35
dresses,Positive,74
dresses & dress clothes,Negative,11
dresses & dress clothes,Neutral,8
dresses & dress clothes,Positive,18
dresses & skirts,Negative,16
dresses & skirts,Neutral,3
dresses & skirts,Positive,12
drink dispensers,Negative,1
drink dispensers,Positive,1
drinkware sets,Negative,9
drinkware sets,Neutral,1
drinkware sets,Positive,4
dryers,Negative,10
dryers,Neutral,7
dryers,Positive,12
dutch ovens,Negative,1
dutch ovens,Neutral,1
dutch ovens,Positive,2
duvets,Negative,5
duvets,Neutral,1
duvets,Positive,6
earrings,Negative,9
earrings,Neutral,7
earrings,Positive,7
easter,Neutral,1
ecko unltd,Positive,2
eclo™ earth-friendly pants,Negative,4
eclo™ earth-friendly pants,Neutral,2
eclo™ earth-friendly pants,Positive,2
electric blankets,Negative,5
electric blankets,Neutral,2
electric blankets,Positive,2
emma,Negative,4
emma,Neutral,3
emma,Positive,2
energy efficient & blackout,Negative,25
energy efficient & blackout,Neutral,10
energy efficient & blackout,Positive,22
entertaining shop,Negative,3
entertaining shop,Positive,3
epicurious,Negative,6
epicurious,Neutral,3
epicurious,Positive,7
essential mens pants,Negative,4
essential mens pants,Neutral,2
essential mens pants,Positive,3
essentials,Negative,129
essentials,Neutral,63
essentials,Positive,122
eva longoria home,Positive,1
evening and cocktail dresses,Negative,2
evening and cocktail dresses,Neutral,2
evening and cocktail dresses,Positive,3
evening separates,Negative,7
evening separates,Neutral,3
evening separates,Positive,6
extended sizes,Negative,17
extended sizes,Neutral,8
extended sizes,Positive,23
extra wide widths,Positive,1
eye brushes,Negative,7
eye brushes,Neutral,3
eye brushes,Positive,6
eye care,Negative,4
eye care,Neutral,1
eye care,Positive,4
eye makeup,Negative,4
eye makeup,Neutral,2
eye makeup,Positive,2
eyebrows,Negative,13
eyebrows,Neutral,5
eyebrows,Positive,18
eyeliner,Negative,23
eyeliner,Neutral,15
eyeliner,Positive,18
face brushes,Neutral,1
face brushes,Positive,1
face makeup,Negative,14
face makeup,Neutral,5
face makeup,Positive,11
face oils,Negative,5
face oils,Positive,3
face powder,Negative,16
face powder,Neutral,6
face powder,Positive,15
face primer,Negative,3
face primer,Neutral,2
face primer,Positive,3
face serum & treatments,Negative,2
face serum & treatments,Neutral,2
face serum & treatments,Positive,4
face wash & cleanser,Negative,3
face wash & cleanser,Neutral,3
face wash & cleanser,Positive,2
face wash for men,Negative,2
face wash for men,Neutral,2
face wash for men,Positive,4
fall harvest & thanksgiving,Positive,1
false eyelashes,Negative,4
false eyelashes,Neutral,2
false eyelashes,Positive,3
family travel,Negative,4
family travel,Neutral,1
family travel,Positive,3
farberware,Negative,3
farberware,Neutral,1
farberware,Positive,2
fashion,Negative,11
fashion,Neutral,1
fashion,Positive,12
fashion accessories,Negative,1
fashion jewelry,Positive,1
fashion jewelry & watches,Neutral,1
fashion jewelry & watches,Positive,1
fashion rings,Positive,1
fashion tops,Neutral,1
fashion tops,Positive,3
fashion watches,Neutral,1
fashion watches,Positive,1
faux fur boots,Negative,6
faux fur boots,Neutral,2
faux fur boots,Positive,3
faux wood blinds,Negative,6
faux wood blinds,Positive,3
fila,Negative,6
fila,Neutral,1
fila,Positive,4
fine jewelry for bride,Negative,7
fine jewelry for bride,Neutral,3
fine jewelry for bride,Positive,7
fine watches,Positive,1
fit and flare,Negative,3
fit and flare,Positive,2
fit and flare dresses,Negative,9
fit and flare dresses,Neutral,2
fit and flare dresses,Positive,6
fit secrets,Negative,4
fit secrets,Neutral,2
fit secrets,Positive,2
fitness,Neutral,2
fitness,Positive,2
fitness accessories,Negative,2
fitness accessories,Neutral,1
fitness accessories,Positive,8
flannel shirts,Negative,3
flannel shirts,Positive,5
flat front pants,Negative,14
flat front pants,Neutral,4
flat front pants,Positive,17
flat front shorts,Negative,5
flat front shorts,Neutral,1
flat front shorts,Positive,2
flats & ballet,Negative,7
flats & ballet,Neutral,4
flats & ballet,Positive,8
flats & loafers,Negative,10
flats & loafers,Neutral,7
flats & loafers,Positive,10
flatware,Neutral,1
flatware,Positive,1
fleece,Negative,5
fleece,Neutral,1
fleece,Positive,2
fleece jackets,Neutral,1
flip flops,Negative,1
flip flops,Neutral,2
flip flops,Positive,3
flirtitude,Negative,11
flirtitude,Neutral,5
